LICEO DOMINGO HERRERA RIVERA,Región de Antofagasta,Antofagas,8.0,0.0,sube
LICEO BICENTENARIO ANDRES SABELLA,Región de Antofagasta,Antofagas,13.0,1.0,sube
LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO C,Región de Antofagasta,Antofagas,27.0,1.0,sube
INSTITUTO CIENTóFICO EDUCACIONAL JOSó MAZ,Región de Antofagasta,Antofagas,-2.0,0.0,baja
COLEGIO EVANGELICO JOSE LANCASTER,Región de Antofagasta,Antofagas,9.0,0.0,sube
LICEO EXPERIMENTAL ARTISTICO-APLICACION,Región de Antofagasta,Antofagas,12.0,1.0,sube
COLEGIO SANTA TERESITA,Región de Antofagasta,Antofagas,-16.0,-1.0,baja
COLEGIO ADVENTISTA DE ANTOFAGASTA,Región de Antofagasta,Antofagas,-17.0,-1.0,baja
COLEGIO INGLES SAN JOSE,Región de Antofagasta,Antofagas,-12.0,-1.0,baja
COLEGIO SANTA EMILIA,Región de Antofagasta,Antofagas,-10.0,0.0,baja
COLEGIO LIDIA MORENO,Región de Antofagasta,Antofagas,1.0,0.0,sube
COLEGIO BINACIONAL CHILENO AMERICANO DE A,Región de Antofagasta,Antofagas,-6.0,0.0,baja
COLEGIO CORAZON DE MARIA,Región de Antofagasta,Antofagas,6.0,0.0,sube
COL. SAN LUIS,Región de Antofagasta,Antofagas,0.0,0.0,mantiene
INS. SANTA MARIA,Región de Antofagasta,Antofagas,-24.0,-1.0,baja
COL. THE ANTOFAGASTA BRITISH SCHOOL,Región de Antofagasta,Antofagas,3.0,0.0,sube
COL. ANTOFAGASTA,Región de Antofagasta,Antofagas,-17.0,-1.0,baja
COLEGIO EAGLE SCHOOL,Región de Antofagasta,Antofagas,-11.0,0.0,baja
HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),Región de Antofagasta,Antofagas,-11.0,0.0,baja
COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENA,Región de Antofagasta,Mejillone,-19.0,-1.0,baja
ESCUELA CARACOLES,Región de Antofagasta,Sierra Go,-15.0,0.0,baja
LICEO POLITECNICO JOSE MIGUEL QUIROZ,Región de Antofagasta,Taltal,-17.0,-1.0,baja
LICEO JUAN CORTES-MONROY CORTES,Región de Antofagasta,Taltal,18.0,1.0,sube
LICEO FEDERICO VARELA,Región de Atacama,Chaóaral,-4.0,0.0,baja
LICEO MANUEL MAGALHAES MEDLING,Región de Atacama,Diego De,7.0,0.0,sube
LICEO DIEGO DE ALMEIDA,Región de Atacama,Diego De,5.0,0.0,sube
INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ,Región de Atacama,Copiapó,-16.0,-1.0,baja
LICEO JOSE ANTONIO CARVAJAL,Región de Atacama,Copiapó,7.0,0.0,sube
LICEO MERCEDES FRITIS MACKENNEY,Región de Atacama,Copiapó,-10.0,-1.0,baja
LICEO DE MUSICA,Región de Atacama,Copiapó,-11.0,0.0,baja
LICEO CATOLICO ATACAMA,Región de Atacama,Copiapó,10.0,0.0,sube
LICEO POLITECNICO BELEN,Región de Atacama,Copiapó,2.0,0.0,sube
LICEO SAGRADO CORAZON,Región de Atacama,Copiapó,-5.0,0.0,baja
COLEGIO ADVENTISTA DE COPIAPO,Región de Atacama,Copiapó,-12.0,-1.0,baja
ESCUELA TECNICO PROFESIONAL,Región de Atacama,Copiapó,1.0,0.0,sube
LICEO MANUEL BLANCO ENCALADA,Región de Atacama,Caldera,-4.0,0.0,baja
COLEGIO PARROQUIAL PADRE NEGRO,Región de Atacama,Caldera,-6.0,0.0,baja
ESCUELA DE CONCENTRACION,Región de Atacama,Tierra Am,-2.0,0.0,baja
LICEO PEDRO TRONCOSO MACHUCA,Región de Atacama,Vallenar,-11.0,-1.0,baja
LICEO JOSE SANTOS OSSA,Región de Atacama,Vallenar,4.0,0.0,sube
LICEO SANTA MARTA,Región de Atacama,Vallenar,-22.0,-1.0,baja
LICEO SAN FRANCISCO,Región de Atacama,Vallenar,-2.0,0.0,baja
LICEO GABRIELA MISTRAL DE LA SERENA,Región de Coquimbo,La Serena,-10.0,0.0,baja
LICEO GREGORIO CORDOVEZ,Región de Coquimbo,La Serena,-12.0,-1.0,baja
LICEO TECNICO MARTA BRUNET,Región de Coquimbo,La Serena,0.0,0.0,mantiene
COLEGIO JOSE MANUEL BALMACEDA,Región de Coquimbo,La Serena,-32.0,-1.0,baja
COLEGIO GABRIEL GONZALEZ VIDELA,Región de Coquimbo,La Serena,0.0,0.0,mantiene
COLEGIO PEDRO AGUIRRE CERDA,Región de Coquimbo,La Serena,3.0,0.0,sube
COLEGIO JOSE MIGUEL CARRERA,Región de Coquimbo,La Serena,15.0,0.0,sube
COLEGIO ADVENTISTA LA SERENA,Región de Coquimbo,La Serena,-15.0,-1.0,baja
COLEGIO SAN FRANCISCO COLL,Región de Coquimbo,La Serena,-22.0,-1.0,baja
COLEGIO SAN ANTONIO,Región de Coquimbo,La Serena,7.0,0.0,sube
COLEGIO ELENA BETTINI,Región de Coquimbo,La Serena,-22.0,-1.0,baja
ESCUELA PARTICULAR TERESA VIDELA DE G,Región de Coquimbo,La Serena,-9.0,0.0,baja
